pathway	AM01	AM02	AM03	AM04	AM05	AM06	AM07	AM08	AM09
PWY-181	5159.874900431142	1811.1003561720556	4310.564603542287	4111.243678418142	2209.4567256717205	5451.064371618534	5764.842337144511	4833.59724047438	1717.7883388130122
PWY-1861	3315.4152853324204	1040.5996281855112	1404.395212879451	2021.5762824372785	3188.755914281463	3939.762034012667	3021.59893227504	7884.281465981306	2456.5213207790875
PWY-1882	744.7211490236944	200.94248663501085	0.0	184.9930741479567	325.43437828981354	710.8472717391078	66.85303558909202	133.30639955931574	79.92902186441599
PWY-241	10557.720273751313	6238.756816408696	7039.567875583147	6622.626630428341	10188.170557809492	10645.837380288718	10131.716488532293	12540.802959993953	6666.2635875332935
PWY-2941	1987.2103331176424	1570.8576874784242	1772.732667029524	213.47954745020672	2635.846690201172	1010.9520683781607	2355.734190750746	2615.6062743574944	1515.495959161023
PWY-2942	23154.944551868786	15185.347480055927	16085.231072824716	13753.769901510488	21633.766451219904	24139.696671496862	21647.669745673425	28959.722866673827	14907.704703867716
PWY-3001	24089.582547961094	15772.538207746007	17258.216331314754	14093.111406545313	22782.093341611635	26576.320093548056	23098.589292380617	29492.276635323138	16227.36805025215
PWY-3481	45.17363934293017	102.80915572884128	48.83340644110962	152.08946570073854	137.52691090001957	15.4030807316462	0.0	266.3669632881592	22.116928660851887
PWY-3661	2369.4471096936054	1320.9398341636804	2420.2811181820375	940.9432100374477	3260.0354806468945	2274.1937598825516	3460.723963188412	1110.0445177783984	2097.8689041356956
PWY-3801	0.0	54.04933269028418	0.0	0.0	0.0	108.12831064162896	0.0	0.0	0.0
PWY-3841	17815.512848719038	11564.659111795434	12207.627103164694	10620.061339014122	16992.67999223119	18851.710345345316	17226.132528920127	23294.234414736755	11678.28795439741
PWY-3941	391.54114798327976	0.0	0.0	0.0	0.0	109.72439291233248	0.0	47.24145137447171	0.0
PWY-4321	154.81153584732155	233.68877685157977	411.68062282924825	59.11752167116669	250.1348946030964	257.1174662495009	217.84891221839612	339.55373076702676	0.0
PWY-4702	182.31951141112185	15.944263008926628	3.9946790821416696	0.0	0.0	30.97647930503944	236.43426443202978	3.997426659804426	0.0
PWY-4722	186.53241633086216	0.0	0.0	0.0	0.0	0.0	0.0	3.9994311120498316	0.0
PWY-4984	10956.429309891253	7038.508294541054	7839.551121561224	6657.326715091378	11309.53423586212	10592.264250113836	10018.791106261224	15484.853424924437	7256.678658205539
PWY-5005	594.2016739265899	269.3609966330087	2.3996168759641523	692.9733233672141	304.8885887037141	806.7983455233818	780.8009581192567	723.0940199355761	558.0770970657462
PWY-5022	8833.72963670829	4856.709267252551	7532.771722989242	4721.4412176336855	7675.268187097455	8473.158784734745	9033.719406128184	11285.08935956701	6116.031830238727
PWY-5028	5107.555084374306	2375.219733690036	4015.9081163424953	3600.252969003401	4156.393284081602	5152.113908702862	6003.165375656407	3932.619093131067	3728.6734216729774
PWY-5030	8720.56117478252	6934.528532808217	6333.19413170796	5078.584367424799	9188.889015770526	8366.414732987012	8403.969780392405	12328.08731308594	5974.763047583073
PWY-5097	22402.75856056264	14684.141209635673	15631.63986442872	13264.797973376384	20950.948162091598	23377.263454251835	21056.00383195863	28136.339621430026	14504.404145209433
PWY-5100	5878.359093425177	3191.1322791568346	3869.7234585489628	2801.7404097221056	5677.575270546922	6675.521786897423	4945.438840251589	7129.4174019950415	3140.126364316548
PWY-5101	653.7037527991534	1321.8553866511322	1273.1480515752178	1583.2666655166438	1343.7573060459401	1811.3437946891747	1404.946907480347	1145.789704773293	1617.740352415414
PWY-5103	21928.224252384338	13517.992133371083	15762.972871467324	12994.717654626855	20345.796125080506	24746.893991305562	21509.62018372033	26256.61791136654	14986.427689425942
PWY-5104	4171.43647297025	2277.3967011360414	4021.5450788941407	3129.7962424511215	3655.275123979781	4631.986987636248	4683.385657136823	3504.390837192897	3348.1751047425673
PWY-5121	19256.690435058674	12383.267827221147	13216.045886581112	11347.94376330504	17572.176830885597	19973.75848372464	18088.940913960592	23859.015532219815	12393.876692510747
PWY-5129	250.53820124145304	0.0	7.879628541201364	120.1706317945486	203.526077379806	114.7309331595046	221.81435538758294	0.0	0.0
PWY-5130	18945.938935823957	9971.38144786701	11587.58658670932	9176.834181571472	16340.327718308661	16869.850612620066	16498.388182608924	24108.81568529467	11790.755779550718
PWY-5136	22685.92629129921	12080.919431285176	16244.280213646285	13314.459065457413	20141.166874553932	24821.78996789412	22286.793539944923	27546.41762755697	15459.823541879323
PWY-5138	11555.787243533881	5698.535228468437	8250.879302305391	6486.929257874741	9651.93999295654	11347.043453121676	11206.305619270457	12426.854042702693	6940.264393082355
PWY-5154	20374.64891258816	13369.865978649786	14594.803078188103	11641.164547039942	19890.004369146594	22720.72396261036	20177.235206520243	27059.839684065362	14089.136975970034
PWY-5178	381.0399814629784	134.99087124384351	0.0	116.6495216635481	140.6317808865345	510.34144017987785	171.90241316663824	271.4397568780096	240.5620636864119
PWY-5179	255.1441617042549	0.0	0.0	0.0	0.0	0.0	0.0	5.99023808482285	0.0
PWY-5180	3210.412247778642	1706.710565059105	2768.2511971052913	1275.4631274800654	2666.77603516262	3128.4030530811074	2639.617084942399	2828.9294665542843	1851.4381761815785
PWY-5181	1314.8450324648973	341.92660158117695	0.0	347.82060451584005	87.96628274848166	1103.6144688864667	153.33237158883946	297.6245464153461	317.00261786822324
PWY-5182	785.2635463055211	194.0686206225732	0.0	169.81263763502687	52.41415649767324	766.2462496895073	89.28638665329522	177.80904914716396	239.00982990597177
PWY-5183	173.45617935454533	0.0	0.0	0.0	0.0	0.0	0.0	4.346404883687387	0.0
PWY-5188	20015.95286767428	12697.960848719538	14666.140668558875	11824.699843170143	19115.88854052248	21478.331381256125	19311.969105433218	26078.14475876019	12784.55206433861
PWY-5189	18211.556328474704	11698.224562704969	13395.346674863187	10756.420194002294	17468.89077499324	19673.599287707	17517.26393591812	23995.389532986148	11517.188848056512
PWY-5209	4382.223421511109	2081.358044262777	2811.5984819410687	2376.8317535545025	4077.6243265455205	4699.018971518518	4499.790242670345	6273.827736871939	3105.2646929180137
PWY-5328	2911.618446398386	1480.141613861839	2443.260577312956	754.2772934136375	2390.4966182739167	2681.2978051061896	3768.2037784246354	1986.7397972171448	2126.701270295409
PWY-5345	18825.724221738183	12773.646605849142	13613.046086976829	11836.37220313426	17699.122340196143	21067.28745708268	18435.506255901306	22595.69905909122	12367.789095256785
PWY-5347	2604.9410982940926	1858.3679079381834	2656.9707699304913	2730.113275518603	3668.078817861778	2763.316311570823	4243.262651635359	3194.3907090316447	2818.0073747267697
PWY-5367	3332.0374434476475	3091.7722867706443	3097.9988720890733	2282.1093755195775	3122.866047023654	3893.482565956024	2582.9482589624745	2578.9957556014488	2103.6496753196543
